unit_id,station_id,zone,is_sensored,entry_time_s,exit_time_s,cycle_time_s,takt_time_s,torque_reading,true_cycle_time_s,pass_fail,defect_flag,defect_cause
VEH-0001,1,Body,FALSE,0,44.97,,45,,44.97,,0,
VEH-0001,2,Body,FALSE,44.97,109.37,,68,,64.4,,0,
VEH-0001,3,Body,FALSE,109.37,171.1,,59.3,,61.73,,0,
VEH-0001,4,Body,TRUE,171.1,221.7,50.6,53.9,,50.6,,0,
VEH-0001,5,Body,TRUE,221.7,258.28,36.58,36.2,,36.58,PASS,0,
VEH-0001,6,Body,FALSE,258.28,290.93,,36.2,,32.65,,0,
VEH-0001,7,Body,FALSE,290.93,321.09,,32.3,,30.16,,0,
VEH-0001,8,Body,FALSE,321.09,386.33,,64.6,,65.24,,0,
VEH-0001,9,Body,FALSE,386.33,442.32,,54,,55.99,PASS,0,
VEH-0001,10,Body,TRUE,442.32,501.12,58.8,58.3,,58.8,,0,
VEH-0001,11,Body,TRUE,501.12,531.74,30.62,30.8,,30.62,PASS,0,
VEH-0001,12,Body,TRUE,531.74,599.5,67.76,68.8,,67.76,,0,
VEH-0001,13,Body,TRUE,599.5,658.11,58.61,63.3,43.92,58.61,PASS,0,
VEH-0001,14,Body,TRUE,658.11,695.72,37.61,38.5,46.59,37.61,,0,
VEH-0001,15,Body,FALSE,695.72,733.66,,37.3,,37.94,PASS,0,
VEH-0001,16,Paint,FALSE,733.66,767.68,,37.3,,34.02,,0,
VEH-0001,17,Paint,TRUE,767.68,810.56,42.88,42.2,,42.88,,0,
VEH-0001,18,Paint,FALSE,810.56,860.58,,51,,50.02,,0,
VEH-0001,19,Paint,TRUE,860.58,906.28,45.7,47.3,45.92,45.7,,0,
VEH-0001,20,Paint,TRUE,906.28,950.02,43.74,41.6,,43.74,,0,
VEH-0001,21,Paint,TRUE,950.02,1007.06,57.04,54.5,,57.04,,0,
VEH-0001,22,Paint,TRUE,1007.06,1041.17,34.11,35.6,,34.11,PASS,0,
VEH-0001,23,Final Assembly,TRUE,1041.17,1082.22,41.05,41.7,,41.05,,0,
VEH-0001,24,Final Assembly,TRUE,1082.22,1127.66,45.44,44.7,,45.44,,0,
VEH-0001,25,Final Assembly,TRUE,1127.66,1178.21,50.55,48.2,,50.55,,0,
VEH-0001,26,Final Assembly,TRUE,1178.21,1238.14,59.93,61.4,,59.93,PASS,0,
VEH-0001,27,Final Assembly,TRUE,1238.14,1275.79,37.65,38,43.34,37.65,,0,
VEH-0001,28,Final Assembly,FALSE,1275.79,1323.36,,50.6,,47.57,,0,
VEH-0001,29,Final Assembly,TRUE,1323.36,1379.25,55.89,53.7,47.03,55.89,,0,
VEH-0001,30,Final Assembly,TRUE,1379.25,1411.04,31.79,31.9,,31.79,,0,
VEH-0001,31,Final Assembly,TRUE,1411.04,1468.06,57.02,54.3,,57.02,,0,
VEH-0001,32,Final Assembly,TRUE,1468.06,1505.53,37.47,36.8,,37.47,PASS,0,
VEH-0001,33,Final Assembly,TRUE,1505.53,1537.08,31.55,32.6,45.54,31.55,,0,
VEH-0001,34,Final Assembly,TRUE,1537.08,1610.31,73.23,68,,73.23,,0,
VEH-0001,35,Final Assembly,TRUE,1610.31,1678.79,68.48,68.6,,68.48,,0,
VEH-0001,36,Final Assembly,TRUE,1678.79,1745.97,67.18,62.3,41.07,67.18,,0,
VEH-0001,37,Final Assembly,TRUE,1745.97,1789.9,43.93,42.2,,43.93,,0,
VEH-0001,38,Final Assembly,TRUE,1789.9,1823.95,34.05,33.9,,34.05,,0,
VEH-0001,39,Final Assembly,FALSE,1823.95,1880.49,,57.4,,56.54,,0,
VEH-0001,40,Final Assembly,TRUE,1880.49,1928.31,47.82,47.6,,47.82,,0,
VEH-0002,1,Body,FALSE,0,40.53,,45,,40.53,,0,
VEH-0002,2,Body,FALSE,40.53,113.19,,68,,72.66,,0,
VEH-0002,3,Body,FALSE,113.19,173.01,,59.3,,59.82,,0,
VEH-0002,4,Body,TRUE,173.01,226.07,53.06,53.9,,53.06,,0,
VEH-0002,6,Body,FALSE,263.49,299.23,,36.2,,35.74,,0,
VEH-0002,7,Body,FALSE,299.23,330.94,,32.3,,31.71,,0,
VEH-0002,8,Body,FALSE,330.94,399.65,,64.6,,68.71,,0,
VEH-0002,9,Body,FALSE,399.65,452.86,,54,,53.21,PASS,0,
VEH-0002,10,Body,TRUE,452.86,503.41,50.55,58.3,,50.55,,0,
