station_id,sensored,method,baseline_mean_s,current_mean_s,z_score,flagged,confidence,predicted_lead_time_units,first_flag_unit_index
1,False,no_neighbor_available,,,,False,0.3,,
2,False,no_neighbor_available,,,,False,0.3,,
3,False,no_neighbor_available,,,,False,0.3,,
4,True,SPC_rolling_zscore,53.78,54.09,0.11,False,0.95,,
5,True,SPC_rolling_zscore,36.51,36.43,-0.04,False,0.95,,
6,False,neighbor_buffer_inference(block 5-10),222.53,237.45,3.57,True,0.55,3460,170
7,False,neighbor_buffer_inference(block 5-10),222.53,237.45,3.57,True,0.55,3460,170
8,False,neighbor_buffer_inference(block 5-10),222.53,237.45,3.57,True,0.55,3460,170
9,False,neighbor_buffer_inference(block 5-10),222.53,237.45,3.57,True,0.55,3460,170
10,True,SPC_rolling_zscore,58.88,58.25,-0.18,False,0.95,,
11,True,SPC_rolling_zscore,30.49,31.31,0.57,False,0.95,,
12,True,SPC_rolling_zscore,69.31,69.61,0.09,False,0.95,,
13,True,SPC_rolling_zscore,62.58,63.65,0.41,False,0.95,,
14,True,SPC_rolling_zscore,38.29,39.24,0.69,False,0.95,,
15,False,neighbor_buffer_inference(block 14-17),113.2,113.58,0.13,False,0.7,,
16,False,neighbor_buffer_inference(block 14-17),113.2,113.58,0.13,False,0.7,,
17,True,SPC_rolling_zscore,42.85,41.77,-0.44,False,0.95,,
18,False,neighbor_buffer_inference(block 17-19),92.92,94.32,0.64,False,0.7,,
19,True,SPC_rolling_zscore,46.47,46.61,0.06,False,0.95,,
20,True,SPC_rolling_zscore,42.05,41.27,-0.43,False,0.95,,
21,True,SPC_rolling_zscore,54.66,54.05,-0.2,False,0.95,,
22,True,SPC_rolling_zscore,35.6,36.52,0.65,False,0.95,,
23,True,SPC_rolling_zscore,41.55,42.37,0.41,False,0.95,,
24,True,SPC_rolling_zscore,45.33,45.01,-0.17,False,0.95,,
25,True,SPC_rolling_zscore,47.8,48.31,0.18,False,0.95,,
26,True,SPC_rolling_zscore,60.76,61.88,0.39,False,0.95,,
27,True,SPC_rolling_zscore,38.18,37.36,-0.5,False,0.95,,
28,False,neighbor_buffer_inference(block 27-29),87.6,88.24,0.25,False,0.7,,
29,True,SPC_rolling_zscore,53.81,54.55,0.29,False,0.95,,
30,True,SPC_rolling_zscore,32.1,32.21,0.08,False,0.95,,
31,True,SPC_rolling_zscore,54.56,54.73,0.06,False,0.95,,
32,True,SPC_rolling_zscore,37.27,36.9,-0.17,False,0.95,,
33,True,SPC_rolling_zscore,33.2,32.64,-0.31,False,0.95,,
34,True,SPC_rolling_zscore,68.11,67.92,-0.05,False,0.95,,
35,True,SPC_rolling_zscore,69.04,69.31,0.09,False,0.95,,
36,True,SPC_rolling_zscore,62.89,62.68,-0.07,False,0.95,,
37,True,SPC_rolling_zscore,43.14,42.36,-0.38,False,0.95,,
38,True,SPC_rolling_zscore,33.92,34.42,0.39,False,0.95,,
39,False,neighbor_buffer_inference(block 38-40),90.96,91.29,0.1,False,0.7,,
40,True,SPC_rolling_zscore,47.89,47.19,-0.29,False,0.95,,
