unit_id,risk_score,flagged_stations_encountered,actual_defect_flag
VEH-0001,0.0,,0
VEH-0002,0.0,,1
VEH-0003,0.0,,0
VEH-0004,0.0,,0
VEH-0005,0.0,,0
VEH-0006,0.0,,0
VEH-0007,0.0,,0
VEH-0008,0.0,,0
VEH-0009,0.0,,0
VEH-0010,0.0,,1
VEH-0011,0.0,,0
VEH-0012,0.0,,0
VEH-0013,0.0,,0
VEH-0014,0.0,,0
VEH-0015,0.0,,0
VEH-0016,0.0,,1
VEH-0017,0.0,,0
VEH-0018,0.0,,0
VEH-0019,0.0,,0
VEH-0020,0.0,,0
VEH-0021,0.0,,0
VEH-0022,0.0,,0
VEH-0023,0.0,,0
VEH-0024,0.0,,0
VEH-0025,0.0,,0
VEH-0026,0.0,,0
VEH-0027,0.0,,0
VEH-0028,0.0,,0
VEH-0029,0.0,,1
VEH-0030,0.0,,1
VEH-0031,0.0,,0
VEH-0032,0.0,,0
VEH-0033,0.0,,0
VEH-0034,0.0,,0
VEH-0035,0.0,,0
VEH-0036,0.0,,1
VEH-0037,0.0,,0
VEH-0038,0.0,,0
VEH-0039,0.0,,0
VEH-0040,0.0,,0
VEH-0041,0.0,,1
VEH-0042,0.0,,0
VEH-0043,0.0,,0
VEH-0044,0.0,,0
VEH-0045,0.0,,0
VEH-0046,0.0,,1
VEH-0047,0.0,,0
VEH-0048,0.0,,0
VEH-0049,0.0,,1
VEH-0050,0.0,,0
VEH-0051,0.0,,0
VEH-0052,0.0,,1
VEH-0053,0.0,,0
VEH-0054,0.0,,0
VEH-0055,0.0,,1
VEH-0056,0.0,,0
VEH-0057,0.0,,0
VEH-0058,0.0,,0
VEH-0059,0.0,,0
VEH-0060,0.0,,1
VEH-0061,0.0,,0
VEH-0062,0.0,,0
VEH-0063,0.0,,0
VEH-0064,0.0,,0
VEH-0065,0.0,,0
VEH-0066,0.0,,0
VEH-0067,0.0,,0
VEH-0068,0.0,,0
VEH-0069,0.0,,0
VEH-0070,0.0,,0
VEH-0071,0.0,,0
VEH-0072,0.0,,0
VEH-0073,0.0,,0
VEH-0074,0.0,,0
VEH-0075,0.0,,0
VEH-0076,0.0,,0
VEH-0077,0.0,,1
VEH-0078,0.0,,0
VEH-0079,0.0,,0
VEH-0080,0.0,,1
VEH-0081,0.0,,0
VEH-0082,0.0,,0
VEH-0083,0.0,,0
VEH-0084,0.0,,0
VEH-0085,0.0,,0
VEH-0086,0.0,,0
VEH-0087,0.0,,0
VEH-0088,0.0,,0
VEH-0089,0.0,,0
VEH-0090,0.0,,1
VEH-0091,0.0,,0
VEH-0092,0.0,,0
VEH-0093,0.0,,0
VEH-0094,0.0,,0
VEH-0095,0.0,,0
VEH-0096,0.0,,0
VEH-0097,0.0,,1
VEH-0098,0.0,,0
VEH-0099,0.0,,0
VEH-0100,0.0,,0
VEH-0101,0.0,,0
VEH-0102,0.0,,0
VEH-0103,0.0,,0
VEH-0104,0.0,,0
VEH-0105,0.0,,0
VEH-0106,0.0,,0
VEH-0107,0.0,,0
VEH-0108,0.0,,0
VEH-0109,0.0,,0
VEH-0110,0.0,,1
VEH-0111,0.0,,0
VEH-0112,0.0,,1
VEH-0113,0.0,,0
VEH-0114,0.0,,0
VEH-0115,0.0,,0
VEH-0116,0.0,,0
VEH-0117,0.0,,0
VEH-0118,0.0,,1
VEH-0119,0.0,,0
VEH-0120,0.0,,0
VEH-0121,0.0,,1
VEH-0122,0.0,,0
VEH-0123,0.0,,1
VEH-0124,0.0,,1
VEH-0125,0.0,,1
VEH-0126,0.0,,0
VEH-0127,0.0,,1
VEH-0128,0.0,,1
VEH-0129,0.0,,0
VEH-0130,0.0,,0
VEH-0131,0.0,,1
VEH-0132,0.0,,1
VEH-0133,0.0,,0
VEH-0134,0.0,,1
VEH-0135,0.0,,1
VEH-0136,0.0,,1
VEH-0137,0.0,,0
VEH-0138,0.0,,1
VEH-0139,0.0,,1
VEH-0140,0.0,,1
VEH-0141,0.0,,1
VEH-0142,0.0,,1
VEH-0143,0.0,,1
VEH-0144,0.0,,1
VEH-0145,0.0,,1
VEH-0146,0.0,,1
VEH-0147,0.0,,1
VEH-0148,0.0,,0
VEH-0149,0.0,,1
VEH-0150,0.0,,0
VEH-0151,0.0,,1
VEH-0152,0.0,,1
VEH-0153,0.0,,1
VEH-0154,0.0,,1
VEH-0155,0.0,,1
VEH-0156,0.0,,1
VEH-0157,0.0,,1
VEH-0158,0.0,,1
VEH-0159,0.0,,1
VEH-0160,0.0,,1
VEH-0161,0.0,,1
VEH-0162,0.0,,1
VEH-0163,0.0,,1
VEH-0164,0.0,,1
VEH-0165,0.0,,1
VEH-0166,0.0,,1
VEH-0167,0.0,,1
VEH-0168,0.0,,1
VEH-0169,0.0,,1
VEH-0170,0.0,,1
VEH-0171,2.2,6;7;8;9,1
VEH-0172,2.2,6;7;8;9,1
VEH-0173,2.2,6;7;8;9,1
VEH-0174,2.2,6;7;8;9,1
VEH-0175,2.2,6;7;8;9,1
VEH-0176,2.2,6;7;8;9,1
VEH-0177,2.2,6;7;8;9,1
VEH-0178,2.2,6;7;8;9,1
VEH-0179,2.2,6;7;8;9,1
VEH-0180,2.2,6;7;8;9,1
VEH-0181,2.2,6;7;8;9,1
VEH-0182,2.2,6;7;8;9,1
VEH-0183,2.2,6;7;8;9,1
VEH-0184,2.2,6;7;8;9,1
VEH-0185,2.2,6;7;8;9,1
VEH-0186,2.2,6;7;8;9,1
VEH-0187,2.2,6;7;8;9,1
VEH-0188,2.2,6;7;8;9,1
VEH-0189,2.2,6;7;8;9,1
VEH-0190,2.2,6;7;8;9,1
VEH-0191,2.2,6;7;8;9,1
VEH-0192,2.2,6;7;8;9,1
VEH-0193,2.2,6;7;8;9,1
VEH-0194,2.2,6;7;8;9,1
VEH-0195,2.2,6;7;8;9,1
VEH-0196,2.2,6;7;8;9,1
VEH-0197,2.2,6;7;8;9,1
VEH-0198,2.2,6;7;8;9,1
VEH-0199,2.2,6;7;8;9,1
VEH-0200,2.2,6;7;8;9,1
VEH-0201,2.2,6;7;8;9,1
VEH-0202,2.2,6;7;8;9,1
VEH-0203,2.2,6;7;8;9,1
VEH-0204,2.2,6;7;8;9,1
VEH-0205,2.2,6;7;8;9,1
VEH-0206,2.2,6;7;8;9,1
VEH-0207,2.2,6;7;8;9,1
VEH-0208,2.2,6;7;8;9,1
VEH-0209,2.2,6;7;8;9,1
VEH-0210,2.2,6;7;8;9,1
VEH-0211,2.2,6;7;8;9,1
VEH-0212,2.2,6;7;8;9,1
VEH-0213,2.2,6;7;8;9,1
VEH-0214,2.2,6;7;8;9,1
VEH-0215,2.2,6;7;8;9,1
VEH-0216,2.2,6;7;8;9,1
VEH-0217,2.2,6;7;8;9,1
VEH-0218,2.2,6;7;8;9,1
VEH-0219,2.2,6;7;8;9,1
VEH-0220,2.2,6;7;8;9,1
VEH-0221,2.2,6;7;8;9,1
VEH-0222,2.2,6;7;8;9,1
VEH-0223,2.2,6;7;8;9,1
VEH-0224,2.2,6;7;8;9,1
VEH-0225,2.2,6;7;8;9,1
VEH-0226,2.2,6;7;8;9,1
VEH-0227,2.2,6;7;8;9,1
VEH-0228,2.2,6;7;8;9,1
VEH-0229,2.2,6;7;8;9,1
VEH-0230,2.2,6;7;8;9,1
VEH-0231,2.2,6;7;8;9,1
VEH-0232,2.2,6;7;8;9,1
VEH-0233,2.2,6;7;8;9,1
VEH-0234,2.2,6;7;8;9,1
VEH-0235,2.2,6;7;8;9,1
VEH-0236,2.2,6;7;8;9,1
VEH-0237,2.2,6;7;8;9,1
VEH-0238,2.2,6;7;8;9,1
VEH-0239,2.2,6;7;8;9,1
VEH-0240,2.2,6;7;8;9,1
VEH-0241,2.2,6;7;8;9,1
VEH-0242,2.2,6;7;8;9,1
VEH-0243,2.2,6;7;8;9,1
VEH-0244,2.2,6;7;8;9,1
VEH-0245,2.2,6;7;8;9,1
VEH-0246,2.2,6;7;8;9,1
VEH-0247,2.2,6;7;8;9,1
VEH-0248,2.2,6;7;8;9,1
VEH-0249,2.2,6;7;8;9,1
VEH-0250,2.2,6;7;8;9,1
VEH-0251,2.2,6;7;8;9,1
VEH-0252,2.2,6;7;8;9,1
VEH-0253,2.2,6;7;8;9,1
VEH-0254,2.2,6;7;8;9,1
VEH-0255,2.2,6;7;8;9,1
VEH-0256,2.2,6;7;8;9,1
VEH-0257,2.2,6;7;8;9,1
VEH-0258,2.2,6;7;8;9,1
VEH-0259,2.2,6;7;8;9,1
VEH-0260,2.2,6;7;8;9,1
VEH-0261,2.2,6;7;8;9,1
VEH-0262,2.2,6;7;8;9,1
VEH-0263,2.2,6;7;8;9,1
VEH-0264,2.2,6;7;8;9,1
VEH-0265,2.2,6;7;8;9,1
VEH-0266,2.2,6;7;8;9,1
VEH-0267,2.2,6;7;8;9,1
VEH-0268,2.2,6;7;8;9,1
VEH-0269,2.2,6;7;8;9,1
VEH-0270,2.2,6;7;8;9,1
VEH-0271,2.2,6;7;8;9,1
VEH-0272,2.2,6;7;8;9,1
VEH-0273,2.2,6;7;8;9,1
VEH-0274,2.2,6;7;8;9,1
VEH-0275,2.2,6;7;8;9,1
VEH-0276,2.2,6;7;8;9,1
VEH-0277,2.2,6;7;8;9,1
VEH-0278,2.2,6;7;8;9,1
VEH-0279,2.2,6;7;8;9,1
VEH-0280,2.2,6;7;8;9,1
VEH-0281,2.2,6;7;8;9,1
VEH-0282,2.2,6;7;8;9,1
VEH-0283,2.2,6;7;8;9,1
VEH-0284,2.2,6;7;8;9,1
VEH-0285,2.2,6;7;8;9,1
VEH-0286,2.2,6;7;8;9,1
VEH-0287,2.2,6;7;8;9,1
VEH-0288,2.2,6;7;8;9,1
VEH-0289,2.2,6;7;8;9,1
VEH-0290,2.2,6;7;8;9,1
VEH-0291,2.2,6;7;8;9,1
VEH-0292,2.2,6;7;8;9,1
VEH-0293,2.2,6;7;8;9,1
VEH-0294,2.2,6;7;8;9,1
VEH-0295,2.2,6;7;8;9,1
VEH-0296,2.2,6;7;8;9,1
VEH-0297,2.2,6;7;8;9,1
VEH-0298,2.2,6;7;8;9,1
VEH-0299,2.2,6;7;8;9,1
VEH-0300,2.2,6;7;8;9,1
